year,period,total_sales,total_profit,profit_margin,ytd_sales,ytd_profit,ytd_profit_margin
2014,1,14236.90,2450.18,0.17,14236.90,2450.18,0.17
2014,2,4482.38,849.02,0.19,18719.28,3299.20,0.18
2014,3,54673.44,289.01,0.01,73392.72,3588.21,0.05
2014,4,28000.89,3420.76,0.12,101393.61,7008.97,0.07
2014,5,23297.43,2655.64,0.11,124691.04,9664.61,0.08
2014,6,31847.49,4413.04,0.14,156538.53,14077.65,0.09
2014,7,31649.13,-1099.19,-0.03,188187.66,12978.46,0.07
2014,8,27320.06,5130.66,0.19,215507.72,18109.12,0.08
2014,9,80634.82,8003.04,0.1,296142.54,26112.16,0.09
2014,10,31007.69,3312.07,0.11,327150.23,29424.23,0.09
2014,11,71949.36,8192.39,0.11,399099.59,37616.62,0.09
2014,12,63942.24,8557.32,0.13,463041.83,46173.94,0.1
2015,1,18174.08,-3280.97,-0.18,18174.08,-3280.97,-0.18
2015,2,11811.45,2787.25,0.24,29985.53,-493.72,-0.02
2015,3,37038.97,9513.10,0.26,67024.50,9019.38,0.13
2015,4,33464.03,4002.88,0.12,100488.53,13022.26,0.13
2015,5,28453.14,4365.21,0.15,128941.67,17387.47,0.13
2015,6,20997.45,2887.02,0.14,149939.12,20274.49,0.14
2015,7,26438.26,3342.69,0.13,176377.38,23617.18,0.13
2015,8,35935.52,5267.82,0.15,212312.90,28885.00,0.14
2015,9,63177.51,8021.29,0.13,275490.41,36906.29,0.13
2015,10,28539.37,2294.68,0.08,304029.78,39200.97,0.13
2015,11,71958.48,12084.15,0.17,375988.26,51285.12,0.14
2015,12,72299.06,7884.23,0.11,448287.32,59169.35,0.13
2016,1,17290.15,3219.10,0.19,17290.15,3219.10,0.19
2016,2,22868.17,4973.67,0.22,40158.32,8192.77,0.2
2016,3,49252.17,3245.76,0.07,89410.49,11438.53,0.13
2016,4,37648.71,2724.38,0.07,127059.20,14162.91,0.11
2016,5,50842.81,7637.47,0.15,177902.01,21800.38,0.12
2016,6,38778.53,4913.52,0.13,216680.54,26713.90,0.12
2016,7,36776.76,4265.49,0.12,253457.30,30979.39,0.12
2016,8,28285.53,1675.81,0.06,281742.83,32655.20,0.12
2016,9,69177.57,8647.60,0.13,350920.40,41302.80,0.12
2016,10,59090.95,16149.08,0.27,410011.35,57451.88,0.14
2016,11,76240.62,3017.14,0.04,486251.97,60469.02,0.12
2016,12,90481.14,16985.92,0.19,576733.11,77454.94,0.13
2017,1,43361.93,7022.16,0.16,43361.93,7022.16,0.16
2017,2,18728.03,1475.13,0.08,62089.96,8497.29,0.14
2017,3,57445.02,14226.01,0.25,119534.98,22723.30,0.19
2017,4,35459.43,949.62,0.03,154994.41,23672.92,0.15
2017,5,42647.40,6042.97,0.14,197641.81,29715.89,0.15
2017,6,50749.07,7854.32,0.15,248390.88,37570.21,0.15
2017,7,42198.54,6034.58,0.14,290589.42,43604.79,0.15
2017,8,60679.43,8722.19,0.14,351268.85,52326.98,0.15
2017,9,81069.64,9377.54,0.12,432338.49,61704.52,0.14
2017,10,76552.60,9067.56,0.12,508891.09,70772.08,0.14
2017,11,112970.86,9037.14,0.08,621861.95,79809.22,0.13
2017,12,78548.84,7323.63,0.09,700410.79,87132.85,0.12
