first_year,years_since_acquired,active_customers,customer_retention_rate,total_sales,revenue_retention_rate,activity_year,percent_of_yearly_sale
2014,0,586,1.0,463041.83,1.0,2014,1.0
2014,1,429,0.73,347133.73,0.75,2015,0.77
2014,2,477,0.81,432322.21,0.93,2016,0.75
2014,3,509,0.87,509868.46,1.1,2017,0.73
2015,0,137,1.0,101153.59,1.0,2015,0.23
2015,1,103,0.75,92201.35,0.91,2016,0.16
2015,2,119,0.87,124439.50,1.23,2017,0.18
2016,0,52,1.0,52209.55,1.0,2016,0.09
2016,1,46,0.88,58554.96,1.12,2017,0.08
2017,0,12,1.0,7547.87,1.0,2017,0.01
