year,discount_tier,total_sale,total_profit,profit_margin,total_orders
2014,Base Price,204854.71,55841.51,0.27,894
2014,Tier 3: under 25%,154808.58,17682.09,0.11,744
2014,Tier 2: 25%-50%,93780.90,-14732.74,-0.16,116
2014,Tier 1: 50%+,9597.64,-12616.92,-1.31,165
2015,Base Price,216533.56,66648.03,0.31,988
2015,Tier 3: under 25%,168410.93,20784.62,0.12,756
2015,Tier 2: 25%-50%,48870.61,-12542.11,-0.26,104
2015,Tier 1: 50%+,14472.22,-15721.19,-1.09,182
2016,Base Price,278414.02,84169.51,0.3,1195
2016,Tier 3: under 25%,213701.20,23661.26,0.11,938
2016,Tier 2: 25%-50%,67447.87,-10207.93,-0.15,140
2016,Tier 1: 50%+,17170.02,-20167.90,-1.17,217
2017,Base Price,329745.93,98443.23,0.3,1529
2017,Tier 3: under 25%,264055.15,36023.27,0.14,1213
2017,Tier 2: 25%-50%,84771.77,-20159.24,-0.24,168
2017,Tier 1: 50%+,21837.94,-27174.41,-1.24,278
