year,region,total_sales,total_profit,profit_margin,items_ordered,customers,sale_per_customer
2014,West,138898.36,19651.87,0.14,2398,261,532.18
2014,East,125519.58,16153.72,0.13,1935,225,557.86
2014,South,100704.50,11207.07,0.11,1298,152,662.53
2014,Central,97919.39,-838.72,-0.01,1650,197,497.05
2015,East,149415.95,20237.78,0.14,2290,242,617.42
2015,West,132726.33,19713.63,0.15,2390,275,482.64
2015,Central,97819.41,10909.44,0.11,1740,197,496.55
2015,South,68325.63,8308.50,0.12,1294,152,449.51
2016,East,176994.26,20043.39,0.11,2764,300,589.98
2016,West,173706.17,22371.95,0.13,2904,324,536.13
2016,Central,141261.48,19410.31,0.14,2263,255,553.97
2016,South,84771.20,15629.29,0.18,1509,180,470.95
2017,West,232663.23,40943.78,0.18,4095,392,593.53
2017,East,210078.74,32458.17,0.15,3338,348,603.67
2017,Central,136453.94,4947.91,0.04,2739,321,425.09
2017,South,121214.88,8782.99,0.07,1869,217,558.59
