VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
7,2025-11-01 00:13:25,2025-11-01 00:13:25,1,1.68,1,N,43,186,1,14.9,0.0,0.5,1.5,0.0,1.0,22.15,2.5,0.0,0.75
2,2025-11-01 00:49:07,2025-11-01 01:01:22,1,2.28,1,N,142,237,1,14.2,1.0,0.5,4.99,0.0,1.0,24.94,2.5,0.0,0.75
1,2025-11-01 00:07:19,2025-11-01 00:20:41,0,2.7,1,N,163,238,1,15.6,4.25,0.5,4.27,0.0,1.0,25.62,2.5,0.0,0.75
2,2025-11-01 00:00:00,2025-11-01 01:01:03,3,12.87,1,N,138,261,1,66.7,6.0,0.5,0.0,6.94,1.0,86.14,2.5,1.75,0.75
1,2025-11-01 00:18:50,2025-11-01 00:49:32,0,8.4,1,N,138,37,2,39.4,7.75,0.5,0.0,0.0,1.0,48.65,0.0,1.75,0.0
2,2025-11-01 00:21:11,2025-11-01 00:31:39,1,0.85,1,N,90,100,2,10.7,1.0,0.5,0.0,0.0,1.0,16.45,2.5,0.0,0.75
2,2025-11-01 00:07:31,2025-11-01 00:25:44,1,3.01,1,N,142,170,1,19.1,1.0,0.5,1.0,0.0,1.0,25.85,2.5,0.0,0.75
2,2025-11-01 00:46:52,2025-11-01 01:38:55,3,3.82,1,N,237,144,1,42.2,1.0,0.5,9.59,0.0,1.0,57.54,2.5,0.0,0.75
2,2025-11-01 00:56:59,2025-11-01 01:02:05,1,0.89,1,N,162,161,2,7.2,1.0,0.5,0.0,0.0,1.0,12.95,2.5,0.0,0.75
2,2025-11-01 00:10:43,2025-11-01 00:39:25,3,2.28,1,N,234,162,1,24.0,1.0,0.5,8.93,0.0,1.0,38.68,2.5,0.0,0.75
1,2025-11-01 00:00:03,2025-11-01 00:42:25,2,3.3,1,N,158,88,1,35.9,4.25,0.5,2.35,0.0,1.0,44.0,2.5,0.0,0.75
1,2025-11-01 00:43:53,2025-11-01 00:56:46,2,1.5,1,N,88,148,1,12.8,4.25,0.5,1.0,0.0,1.0,19.55,2.5,0.0,0.75
1,2025-11-01 00:58:02,2025-11-01 01:32:36,2,4.7,1,N,148,236,1,32.4,4.25,0.5,9.5,0.0,1.0,47.65,2.5,0.0,0.75
2,2025-11-01 00:52:48,2025-11-01 01:23:18,1,5.61,1,N,87,255,1,33.1,1.0,0.5,0.0,0.0,1.0,38.85,2.5,0.0,0.75
1,2025-11-01 00:05:53,2025-11-01 00:58:03,1,3.9,1,N,231,43,1,40.8,4.25,0.5,0.0,0.0,1.0,46.55,2.5,0.0,0.75
2,2025-11-01 00:13:44,2025-11-01 00:19:30,2,1.14,1,N,141,262,1,7.9,1.0,0.5,2.0,0.0,1.0,14.9,2.5,0.0,0.0
1,2025-11-01 00:03:18,2025-11-01 00:06:48,2,0.6,1,N,238,24,1,5.1,1.0,0.5,1.52,0.0,1.0,9.12,0.0,0.0,0.0
1,2025-11-01 00:19:55,2025-11-01 00:45:37,1,4.3,1,N,236,147,1,24.7,1.0,0.5,2.0,0.0,1.0,29.2,0.0,0.0,0.0
1,2025-11-01 00:45:55,2025-11-01 01:11:30,1,3.0,1,N,231,137,1,24.0,4.25,0.5,3.0,0.0,1.0,32.75,2.5,0.0,0.75
2,2025-11-01 00:11:12,2025-11-01 00:15:02,1,0.69,1,N,237,237,2,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0,0.0
2,2025-11-01 00:05:21,2025-11-01 00:31:06,1,15.47,4,N,132,265,1,84.9,1.0,0.5,17.48,0.0,1.0,106.63,0.0,1.75,0.0
7,2025-11-01 00:09:20,2025-11-01 00:09:20,1,1.29,1,N,79,125,1,12.8,0.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
7,2025-11-01 00:38:59,2025-11-01 00:38:59,1,1.66,1,N,158,79,1,21.2,0.0,0.5,5.39,0.0,1.0,32.34,2.5,0.0,0.75
7,2025-11-01 00:55:33,2025-11-01 00:55:33,1,1.25,1,N,79,90,1,13.5,0.0,0.5,3.0,0.0,1.0,22.25,2.5,0.0,0.75
2,2025-11-01 00:16:24,2025-11-01 00:55:07,1,2.68,1,N,142,249,1,31.7,1.0,0.5,11.23,0.0,1.0,48.68,2.5,0.0,0.75
2,2025-11-01 00:53:29,2025-11-01 01:20:31,1,3.16,1,N,4,48,1,25.4,1.0,0.5,2.0,0.0,1.0,33.15,2.5,0.0,0.75
2,2025-11-01 00:24:10,2025-11-01 00:35:51,2,2.8,1,N,48,24,1,15.6,1.0,0.5,3.2,0.0,1.0,24.55,2.5,0.0,0.75
2,2025-11-01 00:16:18,2025-11-01 00:31:54,1,7.45,1,N,143,169,1,31.7,1.0,0.5,7.34,0.0,1.0,44.04,2.5,0.0,0.0
2,2025-11-01 00:37:34,2025-11-01 00:48:18,1,2.02,1,N,140,142,1,12.8,1.0,0.5,0.0,0.0,1.0,17.8,2.5,0.0,0.0
